symbol,date,anchor_ts,pred_proba_h500,realized_direction,overshoot_direction,direction_pred_proba_lr
BTC,2026-04-07,1775551673588,0.9450192187641293,0,-1,0.5946493650551619
BTC,2026-04-09,1775747129291,0.9409549601529328,1,1,0.6928440045348447
BTC,2026-04-10,1775824440189,0.9993837201612277,1,1,0.007396921332970234
BTC,2026-04-13,1776087108447,0.9742573088809877,1,1,0.7015663187364741
BTC,2026-04-13,1776089781616,0.9994885986400588,1,1,0.03825863390678596
ENA,2026-04-13,1776080961349,0.965337473842197,1,1,0.006846132781875253
ETH,2026-04-06,1775462861123,0.988180857441389,1,1,0.6157872994212497
ETH,2026-04-06,1775466171944,0.9823103739011674,1,1,0.044838254497174594
ETH,2026-04-07,1775548592094,0.991982052160011,1,1,0.8587927137466888
ETH,2026-04-07,1775552465988,0.9847962360065068,0,-1,0.8388728759401383
ETH,2026-04-07,1775556150726,0.9984630418599983,0,-1,0.6111985581454502
ETH,2026-04-10,1775821432080,0.9567452238549448,0,1,0.9999999999996689
ETH,2026-04-13,1776072662436,0.973889221073078,1,-1,0.9412673644417736
ETH,2026-04-13,1776085933088,0.9867971111440373,1,1,0.2589150302933683
ETH,2026-04-13,1776088917402,0.9999936426891303,0,1,0.21788644235623789
HYPE,2026-04-13,1776087841672,0.9633323177900537,1,1,0.9360116184874604
