scope,symbol_or_pool,precision_cutoff,n_triggers,n_unique_days,n_triggers_per_day_avg,n_real_cascades,precision,directional_accuracy_long,marginal_p_positive_h500,mean_signed_pnl_long_bps,mean_signed_pnl_long_bps_lo,mean_signed_pnl_long_bps_hi,median_signed_pnl_long_bps,median_signed_pnl_long_bps_lo,median_signed_pnl_long_bps_hi,cost_round_trip_bps_avg,headroom_per_trigger_bps,expected_gross_per_day_bps,expected_gross_per_day_bps_lo,expected_gross_per_day_bps_hi,lr_direction_n_predicted,lr_direction_long_gross_per_day_bps
per_symbol,BTC,0.001,4,4,0.5714285714285714,1,0.25,0.5,0.5,14.619068143436607,-29.91565299451659,68.5631353539784,5.209722070848022,-45.818603707279415,93.8754321393298,8.99764579399767,5.621422349438937,3.2122413425365353,-21.854847050387423,34.14572053154739,1,-14.573392240328623
pooled,ALL,0.001,7,7,1.0,3,0.42857142857142855,0.42857142857142855,0.42857142857142855,-23.834756494469804,-100.81631139156397,32.24970533960325,-7.373755002075821,-45.818603707279415,17.793199143771865,9.62556613417679,-33.460322628646594,-33.460322628646594,-112.82963519880369,22.57482580284549,3,-48.58704085939267
per_symbol,BTC,0.005,5,5,0.7142857142857143,1,0.2,0.6,0.6,16.631399078292475,-20.43332786479136,59.78665284672591,17.793199143771865,-45.818603707279415,93.8754321393298,8.828065049055267,7.803334029237208,5.57381002088372,-19.520525485496,36.50728920989457,1,-14.573392240328623
per_symbol,ETH,0.005,5,4,0.7142857142857143,3,0.6,0.4,0.4,-21.04167740401097,-93.21542522253796,95.50307224402201,-8.607999689040913,-13.956737050202506,131.98967534209683,8.548325328213053,-29.590002732224022,-21.135716237302873,-101.86624175501164,49.739429536328636,3,-33.12071696651526
pooled,ALL,0.005,14,7,2.0,4,0.2857142857142857,0.5,0.5,-4.393796916491364,-49.40940872237636,31.48120525066688,2.6368988596253695,-13.956737050202506,21.236960980743902,9.908823561855964,-14.302620478347329,-28.605240956694658,-115.58968241050466,43.651005947390296,4,-47.69410920684389
per_symbol,AAVE,0.01,4,4,0.5714285714285714,0,0.0,0.5,0.5,-90.12629110656479,-244.1982150048638,63.94563279173426,-109.60186908049508,-256.54513912741095,115.24371286214196,18.239274483996056,-108.36556559056085,-61.923180337463336,-151.0905664328846,27.244205757957946,0,
per_symbol,BTC,0.01,7,6,1.0,2,0.2857142857142857,0.7142857142857143,0.7142857142857143,14.606861993482488,-14.445757681422718,46.11575754697956,13.105613568304975,-16.35649506948722,55.83431564155083,8.632813588917179,5.974048404565309,5.974048404565309,-20.450069866998316,36.92158427378412,2,-17.60843632804579
per_symbol,ETH,0.01,5,4,0.7142857142857143,3,0.6,0.4,0.4,-21.04167740401097,-93.21542522253796,95.50307224402201,-8.607999689040913,-13.956737050202506,131.98967534209683,8.548325328213053,-29.590002732224022,-21.135716237302873,-101.86624175501164,49.739429536328636,3,-33.12071696651526
pooled,ALL,0.01,22,7,3.142857142857143,5,0.22727272727272727,0.5,0.5,-20.30115074316113,-69.80841504941857,26.134275654638394,1.2704544400471418,-45.710878180214024,17.793199143771865,11.313737297590398,-31.61488804075153,-99.3610766995048,-262.48816467160856,45.487730693546474,5,-50.72915329456106
