n_total,n_cascades,base_rate,n_days,auc_oos,auc_oos_lo,auc_oos_hi,auc_shuffled_oos,auc_shuffled_oos_lo,auc_shuffled_oos_hi,precision_top_1pct_oos,precision_top_1pct_oos_lo,precision_top_1pct_oos_hi,lift_oos,signal_distinguishable_from_shuffled,horizon,scope,symbol,fold
2082,24,0.011527377521613832,11,0.7517992530247272,0.6383610515576205,0.8586823781967002,0.5011038270606365,0.40961017157555574,0.6503738934249272,0.0,0.0,0.0,0.0,False,100,pooled,ALL,oos
131,4,0.030534351145038167,11,0.6741802955183901,0.32656250000000003,0.9214298927118016,,,,0.0,0.0,0.0,0.0,False,100,per_symbol,BTC,oos
118,8,0.06779661016949153,11,0.5497019975182067,0.256935069699193,0.73922937393503,0.5357738469656168,0.2888355946576214,0.7936957093972098,0.0,0.0,0.0,0.0,False,100,per_symbol,ETH,oos
124,3,0.024193548387096774,11,0.4864926878829828,0.0,0.8204263900893113,,,,0.0,0.0,0.0,0.0,False,100,per_symbol,HYPE,oos
99,3,0.030303030303030304,11,0.6192751978804004,0.4276899429073342,0.8426966292134832,,,,0.0,0.0,0.0,0.0,False,100,per_symbol,SOL,oos
1532,96,0.06266318537859007,11,0.7781805369888675,0.7316174910114428,0.832899501154245,0.5962131278872053,0.5417760391424747,0.6633332336021632,0.2543299292564547,0.0,0.5555555555555556,4.05868178771759,True,500,pooled,ALL,oos
50,4,0.08,9,0.5852394268963609,0.06622950819672128,0.9423076923076923,0.5490998697190197,0.5,0.6116666666666667,0.238,0.0,1.0,2.9749999999999996,False,500,per_symbol,AAVE,oos
48,3,0.0625,9,0.949060893143706,0.9172297297297297,0.9719202898550725,0.8344363671783975,0.7695686070686071,0.8863636363636364,0.628,0.0,1.0,10.048,True,500,per_symbol,AVAX,oos
51,3,0.058823529411764705,9,0.7258142456022884,0.6,0.8364647351477903,0.8255107918588738,0.6976744186046512,0.948157894736842,0.666,0.0,1.0,11.322000000000001,False,500,per_symbol,BNB,oos
109,20,0.1834862385321101,11,0.5293529801199904,0.38233957219251336,0.7290055969477737,0.5161450982485942,0.4400651799181212,0.6104788732394364,0.009,0.0,0.0,0.049049999999999996,False,500,per_symbol,BTC,oos
51,3,0.058823529411764705,9,0.6726732587077923,0.5582325581395349,0.7844090056285176,0.6174846206831156,0.37614942528735634,0.8521711366538952,0.0,0.0,0.0,0.0,False,500,per_symbol,ENA,oos
96,23,0.23958333333333334,11,0.589585720108677,0.4341763864790181,0.7446862787668259,0.6813187375298821,0.4249053030303031,0.9381121194932879,0.309,0.0,1.0,1.2897391304347825,False,500,per_symbol,ETH,oos
102,14,0.13725490196078433,11,0.5305534998817792,0.2998958333333333,0.7281740535549399,0.5386825798838233,0.36974789915966383,0.8034632034632033,0.0,0.0,0.0,0.0,False,500,per_symbol,HYPE,oos
49,3,0.061224489795918366,9,0.9236265103954642,0.8544403215831787,0.9772853535353535,0.5619662108146343,0.32394730786930515,0.7483552631578947,0.232,0.0,1.0,3.7893333333333334,True,500,per_symbol,PENGU,oos
77,9,0.11688311688311688,10,0.6119449361157767,0.5146585213032581,0.7687973856209149,0.6552620241584222,0.5207939417325873,0.775450474898236,0.258,0.0,1.0,2.2073333333333336,False,500,per_symbol,SOL,oos
51,4,0.0784313725490196,9,0.9713762107245846,0.9477289244186047,0.9852941176470589,0.5375861073023246,0.36363636363636365,0.7373256767842492,0.643,0.0,1.0,8.19825,True,500,per_symbol,SUI,oos
63,8,0.12698412698412698,10,0.7695529669676432,0.7159090909090909,0.8518110795454545,0.7261566318424846,0.38384615384615384,0.983050847457627,0.0,0.0,0.0,0.0,False,500,per_symbol,XRP,oos
