n_total,n_cascades,base_rate,auc,auc_lo,auc_hi,auc_shuffled,auc_shuffled_lo,auc_shuffled_hi,auc_random_feat,auc_random_feat_lo,auc_random_feat_hi,precision_at_top_1pct,recall_at_top_1pct,lift_at_top_1pct,signal_distinguishable_from_shuffled,signal_distinguishable_from_random_feat,horizon,scope,symbol
2192.0,9.0,0.004105839416058394,0.6236575558609457,0.39469294225481205,0.833847935678586,0.4238306102712882,0.23132419654315067,0.6363158511607792,0.5314297348195653,0.31997385203333567,0.7226929872560598,0.0,0.0,0.0,False,False,50,pooled,ALL
2153.0,20.0,0.009289363678588018,0.78398968588842,0.6894560571966355,0.8697313081591459,0.30738396624472575,0.20941002486234964,0.4170644649170178,0.46136896390060944,0.32497814615830617,0.5937161022671502,0.0,0.0,0.0,True,True,100,pooled,ALL
123.0,5.0,0.04065040650406504,0.5830508474576271,0.36704545454545456,0.7984406565656563,0.5186440677966102,0.18053847905282328,0.8305785123966942,0.32033898305084746,0.05555555555555554,0.6797621421449935,0.0,0.0,0.0,False,False,100,per_symbol,BTC
113.0,6.0,0.05309734513274336,0.28037383177570097,0.14791577352882337,0.41490740740740734,0.5716510903426791,0.3182096516047901,0.7848484848484848,0.49065420560747663,0.24303816913887222,0.7112499999999998,0.0,0.0,0.0,False,False,100,per_symbol,ETH
1803.0,73.0,0.040488075429839156,0.8173885501623247,0.770854068687247,0.8580260581625724,0.3967535038403674,0.33518385347100005,0.4687906060502373,0.5174598147121704,0.4468326696265771,0.5810789040090126,0.2777777777777778,0.0684931506849315,6.860730593607307,True,True,500,pooled,ALL
61.0,7.0,0.11475409836065574,0.2751322751322751,0.11014513929475944,0.5023656658680243,0.3650793650793651,0.1202521338724169,0.6640873015873016,0.35185185185185186,0.17541666666666672,0.5500454545454544,0.0,0.0,0.0,False,False,500,per_symbol,AAVE
109.0,17.0,0.1559633027522936,0.7551150895140665,0.6580522827687776,0.8461017792708722,0.5249360613810742,0.37970779220779227,0.6762577758376078,0.5025575447570332,0.3471763880867915,0.6496577307593713,0.0,0.0,0.0,False,True,500,per_symbol,BTC
99.0,16.0,0.16161616161616163,0.46987951807228917,0.3354121427570748,0.6179944417176286,0.39533132530120485,0.2705482129560685,0.525067084078712,0.46084337349397597,0.3088584710743802,0.6123743386243387,0.0,0.0,0.0,False,False,500,per_symbol,ETH
133.0,12.0,0.09022556390977443,0.5888429752066116,0.3932444214876033,0.772998687664042,0.5702479338842976,0.39186035984641787,0.7537048142175636,0.4703856749311295,0.3092680354683196,0.62885,0.0,0.0,0.0,False,False,500,per_symbol,HYPE
78.0,12.0,0.15384615384615385,0.28661616161616166,0.15437499999999998,0.4467184356136821,0.44065656565656564,0.2674295843045843,0.6082876712328767,0.35101010101010105,0.1650793650793651,0.5603825173983455,0.0,0.0,0.0,False,False,500,per_symbol,SOL
