channel,key,size,last_modified,sidecar_key
bbo,raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-04-30/run-20260430T212120Z.jsonl.gz,785126,2026-05-01T18:32:37.240Z,raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-04-30/run-20260430T212120Z.jsonl.gz.sha256
bbo,raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-05-01/hour=21/run-20260501T214645Z.jsonl.gz,13551,2026-05-01T21:51:44.664Z,raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-05-01/hour=21/run-20260501T214645Z.jsonl.gz.sha256
trades,raw/pacifica/full_fidelity/channel=trades/symbol=2Z/date=2026-04-30/run-20260430T212120Z.jsonl.gz,74540,2026-05-01T21:04:05.352Z,raw/pacifica/full_fidelity/channel=trades/symbol=2Z/date=2026-04-30/run-20260430T212120Z.jsonl.gz.sha256
trades,raw/pacifica/full_fidelity/channel=trades/symbol=2Z/date=2026-05-01/run-20260430T212120Z.jsonl.gz,267988,2026-05-01T21:04:08.018Z,raw/pacifica/full_fidelity/channel=trades/symbol=2Z/date=2026-05-01/run-20260430T212120Z.jsonl.gz.sha256
book,raw/pacifica/full_fidelity/channel=book/symbol=2Z/date=2026-05-01/hour=21/run-20260501T214645Z.jsonl.gz,269268,2026-05-01T21:52:40.325Z,raw/pacifica/full_fidelity/channel=book/symbol=2Z/date=2026-05-01/hour=21/run-20260501T214645Z.jsonl.gz.sha256
book,raw/pacifica/full_fidelity/channel=book/symbol=2Z/date=2026-05-01/hour=21/run-20260501T215139Z.jsonl.gz,461886,2026-05-01T22:13:34.141Z,raw/pacifica/full_fidelity/channel=book/symbol=2Z/date=2026-05-01/hour=21/run-20260501T215139Z.jsonl.gz.sha256
prices,raw/pacifica/full_fidelity/channel=prices/symbol=2Z/date=2026-05-01/run-20260501T034250Z.jsonl.gz,228621,2026-05-01T20:30:40.274Z,raw/pacifica/full_fidelity/channel=prices/symbol=2Z/date=2026-05-01/run-20260501T034250Z.jsonl.gz.sha256
prices,raw/pacifica/full_fidelity/channel=prices/symbol=2Z/date=2026-05-01/run-20260501T101433Z.jsonl.gz,57952,2026-05-01T20:30:41.482Z,raw/pacifica/full_fidelity/channel=prices/symbol=2Z/date=2026-05-01/run-20260501T101433Z.jsonl.gz.sha256
candle,raw/pacifica/full_fidelity/channel=candle/symbol=2Z/date=2026-04-30/run-20260430T212120Z.jsonl.gz,1333890,2026-05-01T19:57:33.128Z,raw/pacifica/full_fidelity/channel=candle/symbol=2Z/date=2026-04-30/run-20260430T212120Z.jsonl.gz.sha256
candle,raw/pacifica/full_fidelity/channel=candle/symbol=2Z/date=2026-05-01/hour=00/run-20260501T214645Z.jsonl.gz,1753,2026-05-01T21:53:35.985Z,raw/pacifica/full_fidelity/channel=candle/symbol=2Z/date=2026-05-01/hour=00/run-20260501T214645Z.jsonl.gz.sha256
mark_price_candle,raw/pacifica/full_fidelity/channel=mark_price_candle/symbol=2Z/date=2026-05-01/run-20260501T034250Z.jsonl.gz,389470,2026-05-01T20:11:57.830Z,raw/pacifica/full_fidelity/channel=mark_price_candle/symbol=2Z/date=2026-05-01/run-20260501T034250Z.jsonl.gz.sha256
mark_price_candle,raw/pacifica/full_fidelity/channel=mark_price_candle/symbol=2Z/date=2026-05-01/run-20260501T101433Z.jsonl.gz,94540,2026-05-01T20:11:59.207Z,raw/pacifica/full_fidelity/channel=mark_price_candle/symbol=2Z/date=2026-05-01/run-20260501T101433Z.jsonl.gz.sha256
