channel,date,payload_objects,payload_bytes,symbols,latest_mod_time
bbo,2026-05-13,14,52391496,1,2026-05-13T13:03:10+0000
book,2026-05-13,14,17057505,1,2026-05-13T13:03:10+0000
candle,2026-05-13,13,3197982,1,2026-05-13T12:23:17+0000
mark_price_candle,2026-05-13,13,27816307,1,2026-05-13T12:24:51+0000
prices,2026-05-13,14,1096520,1,2026-05-13T13:03:09+0000
trades,2026-05-13,14,338284,1,2026-05-13T12:58:06+0000
bbo,2026-05-12,27,63298129,1,2026-05-12T23:59:55+0000
book,2026-05-12,27,27683776,1,2026-05-12T23:59:55+0000
candle,2026-05-12,46,5366038,1,2026-05-13T00:00:23+0000
mark_price_candle,2026-05-12,40,48128226,1,2026-05-12T23:59:55+0000
prices,2026-05-12,27,1742846,1,2026-05-12T23:59:46+0000
trades,2026-05-12,27,506574,1,2026-05-12T23:59:11+0000
